rep,algoritmo,ber,bg_udp_mbps,vazao_tcp,retrans_total,taxa_retrans,efficiency
1,reno,1000000,800,399.0,2451,0.031,0.994
2,reno,1000000,800,360.0,2037,0.029,0.994
3,reno,1000000,800,397.0,2242,0.029,0.994
4,reno,1000000,800,409.0,2367,0.029,0.994
5,reno,1000000,800,389.0,2216,0.029,0.994
6,reno,1000000,800,355.0,2164,0.03,0.994
7,reno,1000000,800,434.0,2510,0.029,0.994
8,reno,1000000,800,414.0,2278,0.029,0.994
1,reno,1000000,900,405.0,2514,0.031,0.994
2,reno,1000000,900,410.0,2579,0.031,0.994
3,reno,1000000,900,410.0,2300,0.028,0.994
4,reno,1000000,900,354.0,2303,0.032,0.994
5,reno,1000000,900,414.0,2325,0.029,0.994
6,reno,1000000,900,402.0,2171,0.029,0.994
7,reno,1000000,900,397.0,2346,0.03,0.994
8,reno,1000000,900,381.0,2282,0.03,0.994
1,reno,100000,800,398.0,2305,0.029,0.994
2,reno,100000,800,429.0,2229,0.028,0.994
3,reno,100000,800,412.0,2301,0.029,0.994
4,reno,100000,800,397.0,2254,0.029,0.994
5,reno,100000,800,389.0,2372,0.03,0.994
6,reno,100000,800,354.0,2210,0.031,0.994
7,reno,100000,800,404.0,2211,0.029,0.994
8,reno,100000,800,387.0,2275,0.03,0.994
1,reno,100000,900,405.0,2359,0.03,0.994
2,reno,100000,900,414.0,2295,0.029,0.994
3,reno,100000,900,408.0,2380,0.03,0.994
4,reno,100000,900,406.0,2394,0.03,0.994
5,reno,100000,900,395.0,2439,0.03,0.994
6,reno,100000,900,408.0,2527,0.032,0.994
7,reno,100000,900,373.0,2454,0.032,0.994
8,reno,100000,900,379.0,2099,0.029,0.994
1,cubic,1000000,800,151.0,2421,0.024,0.979
2,cubic,1000000,800,171.0,2476,0.022,0.98
3,cubic,1000000,800,184.0,2236,0.022,0.983
4,cubic,1000000,800,177.0,2264,0.022,0.982
5,cubic,1000000,800,146.0,2321,0.023,0.979
6,cubic,1000000,800,173.0,2360,0.022,0.981
7,cubic,1000000,800,182.0,2402,0.022,0.982
8,cubic,1000000,800,190.0,2764,0.023,0.98
1,cubic,1000000,900,160.0,2194,0.023,0.981
2,cubic,1000000,900,172.0,2234,0.023,0.983
3,cubic,1000000,900,166.0,2249,0.023,0.982
4,cubic,1000000,900,162.0,2445,0.023,0.98
5,cubic,1000000,900,162.0,2387,0.022,0.98
6,cubic,1000000,900,184.0,2257,0.022,0.983
7,cubic,1000000,900,172.0,2583,0.023,0.98
8,cubic,1000000,900,156.0,2286,0.023,0.981
1,cubic,100000,800,179.0,2678,0.023,0.98
2,cubic,100000,800,152.0,2280,0.024,0.981
3,cubic,100000,800,158.0,1860,0.022,0.984
4,cubic,100000,800,202.0,2597,0.022,0.982
5,cubic,100000,800,177.0,2502,0.023,0.981
6,cubic,100000,800,179.0,2410,0.022,0.982
7,cubic,100000,800,169.0,2271,0.022,0.982
8,cubic,100000,800,185.0,2641,0.022,0.98
1,cubic,100000,900,177.0,2386,0.023,0.982
2,cubic,100000,900,161.0,2531,0.023,0.979
3,cubic,100000,900,201.0,2565,0.022,0.982
4,cubic,100000,900,167.0,2274,0.022,0.981
5,cubic,100000,900,192.0,2565,0.023,0.982
6,cubic,100000,900,199.0,2413,0.022,0.983
7,cubic,100000,900,155.0,2343,0.024,0.98
8,cubic,100000,900,167.0,2244,0.023,0.982
