tcp,ber,udp,rep,segmentos,retransmissoes
reno,1000000,800,1,82025,2320
reno,1000000,800,2,82619,2493
reno,1000000,800,3,79498,2271
reno,1000000,800,4,79055,2378
reno,1000000,800,5,79962,2374
reno,1000000,800,6,81556,2394
reno,1000000,800,7,70264,2064
reno,1000000,800,8,74288,2140
reno,1000000,900,1,76854,2367
reno,1000000,900,2,80969,2467
reno,1000000,900,3,79732,2284
reno,1000000,900,4,77147,2324
reno,1000000,900,5,71339,2135
reno,1000000,900,6,74975,1976
reno,1000000,900,7,80275,2262
reno,1000000,900,8,74549,2151
reno,100000,800,1,78832,2389
reno,100000,800,2,78048,2263
reno,100000,800,3,74635,2107
reno,100000,800,4,78173,2399
reno,100000,800,5,74583,2213
reno,100000,800,6,76710,2280
reno,100000,800,7,76718,2401
reno,100000,800,8,75301,2328
reno,100000,900,1,80915,2496
reno,100000,900,2,72420,2194
reno,100000,900,3,80319,2417
reno,100000,900,4,75558,2135
reno,100000,900,5,72341,2064
reno,100000,900,6,74849,2325
reno,100000,900,7,75630,2100
reno,100000,900,8,79105,2470
cubic,1000000,800,1,105589,2374
cubic,1000000,800,2,101773,2274
cubic,1000000,800,3,88478,2058
cubic,1000000,800,4,98577,2098
cubic,1000000,800,5,106481,2383
cubic,1000000,800,6,91536,2086
cubic,1000000,800,7,95472,2169
cubic,1000000,800,8,109684,2399
cubic,1000000,900,1,97684,2138
cubic,1000000,900,2,96069,2155
cubic,1000000,900,3,101079,2285
cubic,1000000,900,4,104784,2284
cubic,1000000,900,5,98592,2160
cubic,1000000,900,6,104498,2363
cubic,1000000,900,7,91152,2131
cubic,1000000,900,8,101504,2289
cubic,100000,800,1,110808,2503
cubic,100000,800,2,97872,2217
cubic,100000,800,3,94577,2108
cubic,100000,800,4,115672,2589
cubic,100000,800,5,109145,2370
cubic,100000,800,6,99427,2260
cubic,100000,800,7,108245,2401
cubic,100000,800,8,113874,2398
cubic,100000,900,1,105374,2393
cubic,100000,900,2,102078,2271
cubic,100000,900,3,94284,2060
cubic,100000,900,4,108346,2414
cubic,100000,900,5,95256,2222
cubic,100000,900,6,88379,1913
cubic,100000,900,7,102614,2266
cubic,100000,900,8,101044,2288
